"","odor_set","tested_OR","specific_odorant","specific_conc","normLuc_val"
"815","Carvone","Olfr47","pCI_plusH",1,0.255168
"816","Carvone","Olfr47","pCI_plusH",1,0.160635
"817","Carvone","Olfr47","pCI_plusH",0,0.209653
"818","Carvone","Olfr47","pCI_plusH",0,0.188134
"819","Carvone","Olfr47","pCI_plusH",0,0.204643
"820","Carvone","Olfr47","pCI_minusD",316,0.082885
"821","Carvone","Olfr47","pCI_minusD",316,0.136747
"822","Carvone","Olfr47","pCI_minusD",316,0.101145
"823","Carvone","Olfr47","pCI_minusD",100,0.118046
"824","Carvone","Olfr47","pCI_minusD",100,0.121288
"825","Carvone","Olfr47","pCI_minusD",100,0.133396
"826","Carvone","Olfr47","pCI_minusD",31.6,0.212695
"827","Carvone","Olfr47","pCI_minusD",31.6,0.1582
"828","Carvone","Olfr47","pCI_minusD",31.6,0.138667
"829","Carvone","Olfr47","pCI_minusD",10,0.186832
"830","Carvone","Olfr47","pCI_minusD",10,0.201198
"831","Carvone","Olfr47","pCI_minusD",10,0.197425
"832","Carvone","Olfr47","pCI_minusD",3.16,0.246542
"833","Carvone","Olfr47","pCI_minusD",3.16,0.207528
