"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"164","Olfr1459","plusH","3.16-0",0.0554453333333333,-0.12233179842334,0.233222465090007,0.867028348852755
"165","Olfr1459","plusH","10-0",0.062406,-0.115371131756673,0.240183131756673,0.80380815798507
"166","Olfr1459","plusH","31.6-0",-0.0249226666666667,-0.20269979842334,0.152854465090007,0.996367129937042
"167","Olfr1459","plusH","100-0",0.0645853333333333,-0.11319179842334,0.242362465090007,0.782270780439939
"168","Olfr1459","plusH","316-0",0.115603666666667,-0.0621734650900066,0.29338079842334,0.286422337234936
"169","Olfr146","minusD","1-0",-0.00753866666666667,-0.183318450435657,0.168241117102324,0.999995789976309
"170","Olfr146","minusD","3.16-0",0.104870333333333,-0.0709094504356573,0.280650117102324,0.360426147259262
"171","Olfr146","minusD","10-0",-0.0455683333333333,-0.221348117102324,0.130211450435657,0.933626086545588
"172","Olfr146","minusD","31.6-0",0.115077,-0.0607027837689907,0.290856783768991,0.280700599386134
"173","Olfr146","minusD","100-0",0.0310026666666667,-0.144777117102324,0.206782450435657,0.988270241561112
"174","Olfr146","minusD","316-0",0.0924173333333334,-0.0833624504356573,0.268197117102324,0.476435423300374
"175","Olfr146","pCI_minusD","1-0",-0.0586323333333333,-0.208563748338526,0.0912990816718598,0.731153926857455
"176","Olfr146","pCI_minusD","3.16-0",0.0535246666666667,-0.0964067483385265,0.20345608167186,0.793415371683679
"177","Olfr146","pCI_minusD","10-0",-0.031777,-0.181708415005193,0.118154415005193,0.972027357119763
"178","Olfr146","pCI_minusD","31.6-0",-0.00310199999999999,-0.153033415005193,0.146829415005193,0.999999945247551
"179","Olfr146","pCI_minusD","100-0",0.0244446666666667,-0.125486748338526,0.17437608167186,0.992070488157864
"180","Olfr146","pCI_minusD","316-0",-0.0103576666666667,-0.16028908167186,0.139573748338526,0.999930503659001
"181","Olfr146","pCI_plusH","1-0",0.056593,-0.0550233339513169,0.168209333951317,0.510134528153413
"182","Olfr146","pCI_plusH","3.16-0",-0.012644,-0.124260333951317,0.098972333951317,0.998848933852407
"183","Olfr146","pCI_plusH","10-0",0.028965,-0.0826513339513169,0.140581333951317,0.933347726337368
"184","Olfr146","pCI_plusH","31.6-0",0.0372423333333333,-0.0743740006179836,0.14885866728465,0.833100907135564
"185","Olfr146","pCI_plusH","100-0",0.0345003333333334,-0.0771160006179836,0.14611666728465,0.871174660914993
"186","Olfr146","pCI_plusH","316-0",0.00336866666666666,-0.10824766728465,0.114985000617984,0.999999477088623
"187","Olfr146","plusH","1-0",0.0109636666666666,-0.0898002957297618,0.111727629063095,0.999079961855831
"188","Olfr146","plusH","3.16-0",0.123285,0.0225210376035716,0.224048962396428,0.0144217490089801
"189","Olfr146","plusH","10-0",-0.010421,-0.111184962396428,0.0903429623964284,0.999304907200095
"190","Olfr146","plusH","31.6-0",-0.0507313333333334,-0.151495295729762,0.0500326290630951,0.516424561207472
"191","Olfr146","plusH","100-0",0.0627953333333333,-0.0379686290630951,0.163559295729762,0.322138923325834
"192","Olfr146","plusH","316-0",0.0389596666666667,-0.0618042957297618,0.139723629063095,0.739395576243861
"193","Olfr1463","minusD","1-0",0.0186563333333333,-0.0997274589075069,0.137040125574174,0.993334724901884
"194","Olfr1463","minusD","3.16-0",-0.047758,-0.16614179224084,0.0706257922408403,0.707666752494863
"195","Olfr1463","minusD","10-0",-0.033608,-0.15199179224084,0.0847757922408403,0.905426116157946
"196","Olfr1463","minusD","31.6-0",0.016325,-0.10205879224084,0.13470879224084,0.996669936068398
"197","Olfr1463","minusD","100-0",0.062627,-0.0557567922408403,0.18101079224084,0.470531578856863
"198","Olfr1463","minusD","316-0",-0.00293933333333334,-0.121323125574174,0.115444458907507,0.999999836907467
"199","Olfr1463","pCI_minusD","1-0",-0.0463546666666667,-0.12704522343251,0.0343358900991769,0.394697720190231
"200","Olfr1463","pCI_minusD","3.16-0",-0.0913313333333333,-0.172021890099177,-0.0106407765674898,0.0240592479836285
"201","Olfr1463","pCI_minusD","10-0",-0.0573893333333333,-0.138079890099177,0.0233012234325102,0.216783901842351
"202","Olfr1463","pCI_minusD","31.6-0",-0.038335,-0.119025556765844,0.0423555567658436,0.569514583458575
"203","Olfr1463","pCI_minusD","100-0",-0.076316,-0.157006556765844,0.00437455676584354,0.0664889653654458
"204","Olfr1463","pCI_minusD","316-0",0.0201396666666667,-0.0605508900991769,0.10083022343251,0.943082897669967
"205","Olfr1463","pCI_plusH","1-0",0.00547366666666665,-0.176840097665613,0.187787430998946,0.999999494809896
"206","Olfr1463","pCI_plusH","3.16-0",0.0323616666666666,-0.149952097665613,0.214675430998946,0.987896938616295
"207","Olfr1463","pCI_plusH","10-0",-0.000337666666666653,-0.182651430998946,0.181976097665613,0.999999999999972
"208","Olfr1463","pCI_plusH","31.6-0",0.00749900000000001,-0.17481476433228,0.18981276433228,0.999996706582767
"209","Olfr1463","pCI_plusH","100-0",0.0144986666666667,-0.167815097665613,0.196812430998946,0.999843164351202
"210","Olfr1463","pCI_plusH","316-0",0.049263,-0.13305076433228,0.23157676433228,0.921694003551472
"211","Olfr1463","plusH","1-0",0.0473606666666667,-0.0897276095406462,0.18444894287398,0.813367569200281
"212","Olfr1463","plusH","3.16-0",0.0515893333333333,-0.0854989428739796,0.188677609540646,0.758583655558014
"213","Olfr1463","plusH","10-0",-0.0268516666666667,-0.16393994287398,0.110236609540646,0.980575144613413
"214","Olfr1463","plusH","31.6-0",0.00627133333333332,-0.13081694287398,0.143359609540646,0.999993818211361
"215","Olfr1463","plusH","100-0",-0.043033,-0.180121276207313,0.0940552762073129,0.864059313877652
"216","Olfr1463","plusH","316-0",0.015777,-0.121311276207313,0.152865276207313,0.998743030073891
"217","Olfr1466","minusD","1-0",-0.00288166666666667,-0.236917718748676,0.231154385415343,0.999999997558857
"218","Olfr1466","minusD","3.16-0",0.120057666666667,-0.113978385415343,0.354093718748676,0.499148884722123
"219","Olfr1466","minusD","10-0",0.0445296666666667,-0.189506385415343,0.278565718748676,0.983071048479183
"220","Olfr1466","minusD","31.6-0",-0.0830913333333333,-0.317127385415343,0.150944718748676,0.79688826434636
"221","Olfr1466","minusD","100-0",0.0342286666666667,-0.199807385415343,0.268264718748676,0.9954594112287
"222","Olfr1466","minusD","316-0",-0.036884,-0.27092005208201,0.19715205208201,0.993321171200713
"223","Olfr1466","pCI_minusD","1-0",-0.0586323333333333,-0.208563748338526,0.0912990816718598,0.731153926857455
"224","Olfr1466","pCI_minusD","3.16-0",0.0535246666666667,-0.0964067483385265,0.20345608167186,0.793415371683679
"225","Olfr1466","pCI_minusD","10-0",-0.031777,-0.181708415005193,0.118154415005193,0.972027357119763
"226","Olfr1466","pCI_minusD","31.6-0",-0.00310199999999999,-0.153033415005193,0.146829415005193,0.999999945247551
"227","Olfr1466","pCI_minusD","100-0",0.0244446666666667,-0.125486748338526,0.17437608167186,0.992070488157864
"228","Olfr1466","pCI_minusD","316-0",-0.0103576666666667,-0.16028908167186,0.139573748338526,0.999930503659001
"229","Olfr1466","pCI_plusH","1-0",0.056593,-0.0550233339513169,0.168209333951317,0.510134528153413
"230","Olfr1466","pCI_plusH","3.16-0",-0.012644,-0.124260333951317,0.098972333951317,0.998848933852407
"231","Olfr1466","pCI_plusH","10-0",0.028965,-0.0826513339513169,0.140581333951317,0.933347726337368
"232","Olfr1466","pCI_plusH","31.6-0",0.0372423333333333,-0.0743740006179836,0.14885866728465,0.833100907135564
"233","Olfr1466","pCI_plusH","100-0",0.0345003333333334,-0.0771160006179836,0.14611666728465,0.871174660914993
"234","Olfr1466","pCI_plusH","316-0",0.00336866666666666,-0.10824766728465,0.114985000617984,0.999999477088623
"235","Olfr1466","plusH","1-0",0.00724,-0.182334942371342,0.196814942371342,0.999997884225992
"236","Olfr1466","plusH","3.16-0",-0.00165533333333334,-0.191230275704675,0.187919609038008,0.999999999688395
"237","Olfr1466","plusH","10-0",0.00478399999999998,-0.184790942371342,0.194358942371342,0.999999820257986
"238","Olfr1466","plusH","31.6-0",0.00769500000000001,-0.181879942371342,0.197269942371342,0.999996955569576
"239","Olfr1466","plusH","100-0",0.00142333333333333,-0.188151609038008,0.190998275704675,0.99999999987372
"240","Olfr1466","plusH","316-0",0.191472,0.0018970576286583,0.381046942371342,0.047341891488605
"241","Olfr1469","minusD","1-0",0.0109306666666667,-0.286982821250593,0.308844154583926,0.999998332504654
"242","Olfr1469","minusD","3.16-0",-0.0158013333333333,-0.313714821250593,0.282112154583926,0.99998520508897
"243","Olfr1469","minusD","10-0",0.209402,-0.0885114879172597,0.50731548791726,0.225383148747356
"244","Olfr1469","minusD","31.6-0",0.649581666666667,0.351668178749407,0.947495154583927,0.000114903409048739
"245","Olfr1469","minusD","100-0",2.01939166666667,1.72147817874941,2.31730515458393,3.33066907387547e-16
"246","Olfr1469","minusD","316-0",4.065299,3.76738551208274,4.36321248791726,0
"247","Olfr1469","pCI_minusD","1-0",0.0412523333333333,-0.0612475101342002,0.143752176800867,0.709532026696914
"248","Olfr1469","pCI_minusD","3.16-0",0.0751873333333333,-0.0273125101342002,0.177687176800867,0.195332170368965
"249","Olfr1469","pCI_minusD","10-0",0.025674,-0.0768258434675335,0.128173843467534,0.942296578805892
"250","Olfr1469","pCI_minusD","31.6-0",0.0169346666666667,-0.0855651768008669,0.1194345101342,0.991529878066685
"251","Olfr1469","pCI_minusD","100-0",-0.009029,-0.111528843467534,0.0934708434675335,0.999718541507195
"252","Olfr1469","pCI_minusD","316-0",0.035836,-0.0666638434675335,0.138335843467534,0.806215277051192
"253","Olfr1469","pCI_plusH","1-0",-0.00940933333333335,-0.130133945181931,0.111315278515264,0.999860785507609
"254","Olfr1469","pCI_plusH","3.16-0",-0.0659446666666667,-0.186669278515264,0.0547799451819308,0.440840878207886
"255","Olfr1469","pCI_plusH","10-0",-0.061972,-0.182696611848597,0.0587526118485975,0.498440725189815
"256","Olfr1469","pCI_plusH","31.6-0",-0.037938,-0.158662611848597,0.0827866118485975,0.863538910960076
