"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s410",0.83619268881277,8.22643510772048,0.400559750470732,0.00920219379318012,0.298782757686033,0.0176958044206709,1.22822822822823,128,128,128
"s411",0.836145906268529,8.22957702883682,0.400514202357086,0.00920337297022952,0.298736569719596,0.0176970670899012,1.23123123123123,128,128,128
"s412",0.836099164392562,8.23271696280798,0.400468803699647,0.0092045485944194,0.298690528394488,0.0176983261519946,1.23423423423423,128,128,128
"s413",0.836052463085427,8.235854912779,0.400423553702889,0.00920572068227385,0.298644632931275,0.0176995816234951,1.23723723723724,128,128,128
"s414",0.836005802248024,8.23899088188817,0.400378451577297,0.00920688925021097,0.298598882556489,0.0177008335208381,1.24024024024024,128,128,128
"s415",0.835959181781586,8.24212487326708,0.400333496539316,0.00920805431454369,0.298553276502575,0.0177020818603511,1.24324324324324,128,128,128
"s416",0.83591260158769,8.24525689004059,0.400288687811304,0.00920921589148074,0.298507814007834,0.0177033266582545,1.24624624624625,128,128,128
"s417",0.835866061568244,8.24838693532678,0.400244024621447,0.00921037399712744,0.298462494316351,0.0177045679306628,1.24924924924925,128,128,128
"s418",0.835819561625494,8.25151501223696,0.400199506203737,0.00921152864748665,0.298417316677955,0.0177058056935854,1.25225225225225,128,128,128
"s419",0.835773101662017,8.25464112387567,0.400155131797879,0.00921267985845951,0.298372280348147,0.0177070399629277,1.25525525525526,128,128,128
"s420",0.835726681580727,8.25776527334064,0.400110900649261,0.00921382764584635,0.298327384588054,0.0177082707544915,1.25825825825826,128,128,128
"s421",0.835680301284866,8.2608874637228,0.400066812008884,0.00921497202534749,0.298282628664369,0.0177094980839766,1.26126126126126,128,128,128
"s422",0.835633960678009,8.26400769810626,0.400022865133318,0.00921611301256409,0.298238011849293,0.0177107219669813,1.26426426426426,128,128,128
"s423",0.835587659664057,8.26712597956828,0.399979059284641,0.00921725062299893,0.29819353342049,0.0177119424190032,1.26726726726727,128,128,128
"s424",0.835541398147244,8.27024231117929,0.399935393730383,0.00921838487205726,0.298149192661019,0.0177131594554402,1.27027027027027,128,128,128
"s425",0.835495176032128,8.27335669600287,0.399891867743482,0.00921951577504753,0.298104988859298,0.0177143730915915,1.27327327327327,128,128,128
"s426",0.835448993223593,8.27646913709575,0.399848480602223,0.00922064334718226,0.298060921309038,0.0177155833426582,1.27627627627628,128,128,128
"s427",0.83540284962685,8.27957963750776,0.399805231590196,0.00922176760357876,0.298016989309196,0.0177167902237442,1.27927927927928,128,128,128
"s428",0.835356745147432,8.28268820028189,0.399762119996234,0.00922288855925992,0.297973192163927,0.0177179937498574,1.28228228228228,128,128,128
"s429",0.835310679691196,8.28579482845421,0.399719145114371,0.00922400622915498,0.297929529182531,0.0177191939359098,1.28528528528529,128,128,128
"s430",0.835264653164319,8.28889952505394,0.399676306243791,0.00922512062810028,0.297885999679397,0.0177203907967189,1.28828828828829,128,128,128
"s431",0.8352186654733,8.29200229310337,0.399633602688775,0.00922623177084002,0.297842602973967,0.0177215843470083,1.29129129129129,128,128,128
"s432",0.835172716524957,8.29510313561791,0.399591033758653,0.009227339672027,0.297799338390675,0.0177227746014087,1.29429429429429,128,128,128
"s433",0.835126806226424,8.29820205560605,0.399548598767761,0.00922844434622336,0.297756205258905,0.0177239615744583,1.2972972972973,128,128,128
"s434",0.835080934485156,8.30129905606939,0.399506297035389,0.00922954580790128,0.297713202912943,0.0177251452806038,1.3003003003003,128,128,128
"s435",0.83503510120892,8.30439414000258,0.39946412788574,0.00923064407144374,0.297670330691928,0.0177263257342012,1.3033033033033,128,128,128
"s436",0.834989306305802,8.30748731039338,0.399422090647875,0.00923173915114516,0.297627587939806,0.0177275029495167,1.30630630630631,128,128,128
"s437",0.834943549684197,8.31057857022264,0.399380184655668,0.00923283106121223,0.297584974005288,0.017728676940727,1.30930930930931,128,128,128
"s438",0.834897831252816,8.31366792246425,0.399338409247771,0.00923391981576449,0.297542488241799,0.0177298477219204,1.31231231231231,128,128,128
"s439",0.83485215092068,8.31675537008522,0.39929676376756,0.00923500542883507,0.297500130007434,0.0177310153070977,1.31531531531532,128,128,128
"s440",0.834806508597121,8.31984091604559,0.399255247563093,0.00923608791437138,0.29745789866492,0.0177321797101723,1.31831831831832,128,128,128
"s441",0.83476090419178,8.3229245632985,0.399213859987065,0.00923716728623578,0.297415793581567,0.0177333409449717,1.32132132132132,128,128,128
