"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda"
"s421",0.6451305799764,16.166184920637,0.325169744605161,0.00937170779139508,0.242478033352512,0.0179267347352554,1.26126126126126
"s422",0.644996712565566,16.1716278415724,0.325120101043476,0.0093724911884709,0.242439977812356,0.017927538074382,1.26426426426426
"s423",0.644863018653749,16.1770606575801,0.325070590538009,0.00937327251493057,0.242402008410878,0.0179283394445552,1.26726726726727
"s424",0.64472949794423,16.1824833988903,0.325021212550052,0.00937405177946435,0.242364124847625,0.0179291388534262,1.27027027027027
"s425",0.644596150140794,16.1878960956155,0.324971966543837,0.00937482899071181,0.242326326823653,0.0179299363086053,1.27327327327327
"s426",0.644462974947726,16.1932987777503,0.324922851986539,0.00937560415726214,0.242288614041508,0.0179307318176619,1.27627627627628
"s427",0.644329972069812,16.1986914751724,0.324873868348235,0.00937637728765452,0.242250986205228,0.0179315253881251,1.27927927927928
"s428",0.644197141212336,16.2040742176429,0.32482501510189,0.00937714839037859,0.242213443020322,0.0179323170274838,1.28228228228228
"s429",0.644064482081086,16.2094470348069,0.324776291723342,0.0093779174738747,0.24217598419376,0.017933106743187,1.28528528528529
"s430",0.643931994382344,16.2148099561939,0.324727697691276,0.00937868454653437,0.24213860943397,0.0179338945426442,1.28828828828829
"s431",0.643799677822895,16.2201630112185,0.324679232487204,0.0093794496167006,0.242101318450817,0.0179346804332256,1.29129129129129
"s432",0.64366753211002,16.2255062291808,0.324630895595447,0.00938021269266825,0.242064110955605,0.017935464422262,1.29429429429429
"s433",0.643535556951498,16.230839639267,0.324582686503113,0.00938097378268439,0.242026986661058,0.0179362465170458,1.2972972972973
"s434",0.643403752055607,16.2361632705498,0.324534604700087,0.00938173289494868,0.241989945281308,0.0179370267248306,1.3003003003003
"s435",0.643272117131121,16.2414771519891,0.324486649678996,0.00938249003761366,0.241952986531897,0.0179378050528318,1.3033033033033
"s436",0.643140651887309,16.2467813124324,0.324438820935209,0.00938324521878517,0.241916110129753,0.0179385815082267,1.30630630630631
"s437",0.643009356033937,16.2520757806151,0.324391117966799,0.00938399844652263,0.241879315793193,0.0179393560981549,1.30930930930931
"s438",0.642878229281269,16.2573605851614,0.324343540274531,0.00938474972883945,0.241842603241899,0.0179401288297186,1.31231231231231
"s439",0.64274727134006,16.2626357545846,0.324296087361856,0.00938549907370327,0.241805972196927,0.0179408997099824,1.31531531531532
"s440",0.642616481921562,16.2679013172876,0.324248758734874,0.00938624648903643,0.24176942238068,0.0179416687459742,1.31831831831832
"s441",0.64248586073752,16.2731573015633,0.324201553902326,0.00938699198271617,0.241732953516909,0.0179424359446849,1.32132132132132
"s442",0.642355407500175,16.2784037355954,0.324154472375572,0.00938773556257503,0.241696565330696,0.017943201313069,1.32432432432432
"s443",0.642225121922257,16.2836406474587,0.324107513668582,0.00938847723640117,0.241660257548459,0.0179439648580447,1.32732732732733
"s444",0.642095003716992,16.2888680651194,0.324060677297902,0.00938921701193866,0.241624029897923,0.0179447265864942,1.33033033033033
